"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating","Y.Ventilation","Y.Sokets_Plug","Y.Lighting","Y.Other_Electricity","Y.Cooling","Y.Heating"
328.688,2021,6,14,21,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,14,22,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,15,2,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,15,5,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,15,6,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,15,9,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,15,10,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,15,12,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,15,22,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,16,3,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
328.688,2021,6,16,4,84.875,22.75,14.938,0,200.125,6,0.25758779208156,0.0698913249489328,0.0462891551100582,0.00115740740740741,0.605789286440276,0.0192850340117657
